category,code_from,code_to,is_unique_visitor,is_visitor,is_unit,venue_id,system
membership_ren_premium,MEMBERSHIP|MBR:GENRNW|MB:PLATRNW,MEMBERSHIP|MBR:GENRNW|MB:PLATRNW,,,1,1204,siriusware
membership_ren_premium,MEMBERSHIP|MBR:GENRNW|MB:TITARNW,MEMBERSHIP|MBR:GENRNW|MB:TITARNW,,,1,1204,siriusware
laser_night,LS:MSG|LS:MSG|LS:MS0000,LS:MSG|LS:MSG|LS:MS0000,,,,1204,siriusware
laser_day,LS:MSG|LS:MSG|LS:MS1230,LS:MSG|LS:MSG|LS:MS1230,,,,1204,siriusware
laser_day,LS:MSG|LS:MSG|LS:MS1315,LS:MSG|LS:MSG|LS:MS1315,,,,1204,siriusware
laser_day,LS:MSG|LS:MSG|LS:MS1415,LS:MSG|LS:MSG|LS:MS1415,,,,1204,siriusware
laser_day,LS:MSG|LS:MSG|LS:MS1515,LS:MSG|LS:MSG|LS:MS1515,,,,1204,siriusware
laser_night,LS:MSG|LS:MSG|LS:MS2000,LS:MSG|LS:MSG|LS:MS2000,,,,1204,siriusware
laser_night,LS:MSG|LS:MSG|LS:MS2115,LS:MSG|LS:MSG|LS:MS2115,,,,1204,siriusware
laser_night,LS:MSG|LS:MSG|LS:MS2230,LS:MSG|LS:MSG|LS:MS2230,,,,1204,siriusware
